By which vector is the Zika virus spread?,Anopheles mosquito,Sandfly,Aedes mosquito,Tse-tse fly,C
Which state in India is the largest producer of soyabean?,Rajasthan,Gujarat,Uttar Pradesh,Madhya Pradesh,D
Which of these computer devices is found in the market in capacities of 4 G.B./8 G.B./16 G.B.? ,Monitor,Headphones ,Mouse,Pen - drives ,D
Which of these places is not located in Mumbai?,The Gateway of India,The Kamala Nehru Park,The Juhu Beach,The Charminar,D
Which of these medical techniques is also used for security in public places?,E.C.G. ,M.R.I. ,X - Ray,Ultrasound,C
The Chinar tree is found in abundance in which state of India (where it is also the state tree)?,West Bengal,Jammu and Kashmir,Himachal Pradesh ,Uttar Pradesh,B
Good Friday is observed to commemorate the event of,The birth of Jesus Christ,The birth of St. Peter,The crucification of Jesus Christ,The rebirth of Jesus Christ,C
Who is the author of Manas Ka - Hans?,Khushwant Singh,Prem Chand,Jayashankar Prasad,Amrit Lal Nagar,D
Which of these is nearest to the goal post on a football field?,Corner Arc,Penalty Mark,Halfway Line,Central Circle,B
Which of these snake names is derived from a Portuguese word meaning snake with a hood?,Python,Russell's Viper ,Cobra,Krait,C
Who is the author of the book Amrit Ki Ore?,Mukesh Kumar,Narendra Mohan,Upendra Nath,Nirad C. Choudhary,B 
Which of these means museum? ,Girjaghar,Ajayaghar,Chiriaghar ,Ghantaghar,B
Which team has won the maximum number of IPL titles?,Chennai Super Kings,Royal Challengers Bangalore,Rajasthan Royals,Mumbai Indians,D
Pongal is a popular festival of which state?,Karnataka,Tamil Nadu,Kerala,Andhra Pradesh,B 
Ghatotkach in Mahabharat was the son of,Bhima,Duryodhana,Arjuna,Yudhishthir,A
Which sport will be played in the proposed Indian Super League?,Football,Tennis ,Formula 1,Badminton,A
Van Mahotsav was started by,Maharshi Karve,Bal Gangadhar Tilak,K.M. Munshi,Sanjay Gandhi,C
Which son of Vishwakarma built the bridge to Lanka in the Ramayana? ,Ajaikapat ,Dvividha ,Nala ,Nahusha ,C
Which of these rivers only flows inside Indian territory?,Brahmaputra ,Chenab,Beas,Jhelum,C
Which of these can be brought in Sarafa Bazaar?,Gold coins ,A pair of bullocks ,A jersey cow,Mugha silk ,A
The Rath Yatra is a famous festival at,Ayodhya,Mathura,Dwaraka,Puri,D
Onam is the main festival of,Tamil Nadu,Karnataka,Kerala,Andhra Pradesh,C
Which of these Hindi words is not related to fire?,Vasant,Jwala,Agni,Pawak,A
Which one of the following is essentially a solo dance? ,Kuchipudi,Kathak,Manipuri,Mohiniattam,D
Which of the following is a folk dance of India?,Kathakali,Mohiniattam,Garba,Manipuri,C
The combined powers of the rook and the bishop is equal to which one of these pieces in chess?,Queen,Knight,Pawn,King,A
What is the maximum number of characters in each tweet on Twitter? ,150,200,250,140,D
Which of these is a core ingredient of the south Indian dish Rasam?,Tamarind,Cucumber ,Brinjal ,Rajma,A
In which event did India win the gold medal in both male and female categories in the 2014 Asian Games?,Volleyball,Hockey,Kabaddi,Archery,C
Where is Victoria Memorial located?,Kolkata,Mumbai,Agra,Delhi,A
Kalaripayyattu is the martial arts form of which state? ,Madhya Pradesh,Mizoram,Nagaland,Kerala,D
Which continent is the tiger native to?,Asia,Africa,Australia,America,A
Which international cricketer has a first name that means peak?,Dhawan,Dhoni,Kohli ,Dravid,A
Which of these is a metal which is silvery white in appearance in its pure form?,Graphite,Tin,Copper,Bauxite,B
In which of these sports are the terms 'Reverse Swing' and 'Reverse Sweep' used?,Football,Cricket,Badminton,Tennis,B
Which of these Indian cities is closest to the Pakistani city of Lahore ?,Srinagar ,Amritsar,Udhampur,Jaisalmer,B
The Konark Temple is dedicated to,Vishnu,Shiva,Krishna,Surya,D
The Meenakshi Temple is in,Puri,Trivandrum,Madurai,Chennai,C
The Odd - Even Scheme in Delhi was implemented to bring down the alarmingly high rate of what?,Unemployment,Inflation ,Air pollution,Obesity,C
Which of the following is wrongly matched?,Qutub Minar - Delhi,Taj Mahal - Agra,Ajanta Caves - Maharashtra,Charminar - Lucknow,D
Which is the only animal to be featured in the name of an I.P.L. team ?,Lion,Tiger,Horse,Elephant,A
Which of the following spices is actually a dried leaf?,Dalchini,Kalaunji,Javitri,Kasoori methi,D
The weight of diamonds is usually measured in what? ,Tola,Carat,Maund,Troy,B 
Which state of India has the shortest coastline?,Goa,Maharashtra,Odisha,West Bengal,A
Dandia is a popular dance of ,Maharashtra,Gujarat,Uttar Pradesh,Punjab,B 
Who was the first Indian woman wrestler to win a gold medal at the Asian Games?,Sakshi Malik,Babita Kumari,Vinesh Phogat,Kavita Devi,C
Who was the youngest Indian woman to win an Olympic medal ?,P.V. Sindhu ,Mary Kom ,Saina Nehwal,Sakshi Malik ,A
Which of these planets has a solid surface?,Mars,Saturn ,Jupiter,Uranus,A
Who wrote the patriotic song Qadam qadam badhaye jaa?,Maithili Sharan Gupt,Kavi Pradeep,Gopaldas Neeraj,Pandit Vanshidhar Shukla,D
In which direction will a person's shadow fall who is standing facing the sun early in the morning in Mumbai?,East,West,North,South,B
Who holds the Guinness World Record for the oldest person to be elected for the first time as the P.M. of a nation? ,P.V. Narasimha Rao,Chaudhary Charan Singh,Morarji Desai,H.D. Deve Gowda,C
Where in the human body you can find deltoid muscles?,In your shoulder,In your back,Along the foot,Along your forearm,A
Which team racked up a world record score of 278 runs in T20 International cricket?,India,Ireland,Australia,Afghanistan,D
Which of these Indus Valley Civilization site is not located in Gujarat?,Lothal,Rangpur,Dholavira,Rakhigarhi,D
